1;А112Т4;Прокляты и убиты;1;585;1;1;25;6;"Роман-эпопею ""Прокляты и убиты"" Виктора Астафьева по праву считают одним из самых сильных и пронзительных произведений отечественной военной прозы.";1.jpg
2;G843H5;Тайны и загадки отца БраунаТайны и загадки отца Брауна;1;193;1;1;30;9;Гилберт Кит Честертон — признанный классик английской литературы, один из самых ярких писателей первой половины XX века. Классикой стали его романы и многочисленные эссе, однако любовь массового читателя принесли ему рассказы об отце Брауне, тихом, застенчивом священнике, мастерски раскрывающем наиболее запутанные загадки и преступления. ;2.jpg
3;D325D4;Девайс;1;1599;2;1;5;12;Молодой фрилансер Захар Скаро устраивается на очередную подработку. Задача, казалось бы, тривиальная: тестирование нового устройства. Вот только вопрос в том, тестированием какой реальности занимается этот новый Девайс?;3.jpg
4;S432T5;Необыкновенное обыкновенное чудо. Школьные истории;1;549;2;1;15;15;;4.jpg
5;F325D4;Чук и Гек;1;209;2;1;18;3;"В книгу вошли повести и рассказы Аркадия Петровича Гайдара: ""Чук и Гек"", ""Горячий камень"" и ""Сказка о военной тайне, о Мальчише-Кибальчише и его твердом слове""";5.jpg
6;G432G6;Информационная безопасность. Национальные стандарты Российской Федерации. 3-е издание. Учебное пособие;1;3899;3;2;22;3;В учебном пособии рассмотрено более 300 действующих открытых документов национальной системы стандартизации Российской Федерации, включая международные и межгосударственные стандарты в области информационной безопасности по состоянию на начало 2023 года.;6.jpg
7;H542F5;Linux. Командная строка. Лучшие практики;1;1799;3;2;4;5;Перейдите на новый уровень работы в Linux! Если вы системный администратор, разработчик программного обеспечения, SRE-инженер или пользователь Linux, книга поможет вам работать быстрее, элегантнее и эффективнее. ;7.jpg
8;C346F5;Квантовые миры и возникновение пространства-времени;1;1349;3;2;5;4;Шон Кэрролл — физик-теоретик и один из самых известных в мире популяризаторов науки — заставляет нас по-новому взглянуть на физику. Столкновение с главной загадкой квантовой механики полностью поменяет наши представления о пространстве и времени.;8.jpg
9;F256G6;Вселенная. Происхождение жизни, смысл нашего существования и огромный космос;1;1799;3;2;6;2;Знаменитый физик Шон Кэрролл в свойственной ему увлекательной манере объясняет принципы, которые лежат в основах научных революций от Дарвина до Эйнштейна, и показывает как невероятные научные открытия последнего столетия изменили наш мир.;
10;J532V5;Пушкин. Бродский. Империя и судьба. В 2-х томах (комплект из 2-х книг);1;529;4;3;8;6;Первая книга двухтомника «Пушкин. Бродский. Империя и судьба» пронизана пушкинской темой. Пушкин — «певец империи и свободы» — присутствует даже там, где он впрямую не упоминается, ибо его судьба, как и судьба других героев книги, органично связана с трагедией великой империи.;10.jpg
11;G643F4;Иосиф Бродский. Избранные эссе (комплект из 6-ти книг);1;4925;5;3;2;24;Шесть сборников избранных эссе Иосифа Бродского (1940-1996), великого поэта, драматурга, мыслителя, лауреата Нобелевской премии по литературе (1987): «Будущее или далекое прошлое», «Верь своей боли», «Как читать книгу», «О русской литературе», «О тирании», «Путеводитель по переименованному городу». Все тексты представлены на английском языке и в переводе на русский и открывают автора не только как поэта, но как историка, критика, и глубокого и ироничного мыслителя.;11.jpg
12;J326V5;Тысячелетие императорской керамикиv;1;2599;5;3;5;4;Фарфор стал величайшим символом китайской культуры. Это одно из выдающихся изобретений, внесших неоценимый вклад в мировую цивилизацию. ;12.jpg
13;J632F6;Вечные спутники: Портреты из всемирной литературы;1;1599;5;3;0;6;"Книга ""Вечные спутники"" - это цикл критических очерков о культуре и великих литераторах, сопровождавших жизнь и творчество русского писателя, поэта, литературного критика и общественного деятеля Дмитрия Мережковского (1865–1941). ";13.jpg
14;G632H6;Формирование литературной репутации Н.Г.Чернышевского в ХIX-XXI веках;1;1349;6;3;2;8;"Монография Д. А. Щербакова - новаторская. Поэтапно рассмотрены не только многочисленные суждения известных отечественных и зарубежных критиков, литературоведов, философов и политиков, различным образом характеризовавших Н. Г. Чернышевского в связи и вне связи со знаменитым романом ""Что делать? ";14.jpg
15;M642E5;Теория искусства. Краткий путеводитель;1;879;6;3;3;2;;15.jpg
16;G543F5;Религиозные верования с древнейших времен до наших дней;1;879;7;3;4;6;Настоящее издание представляет собой сборник переводов лекций по истории дохристианских и нехристианских религий, прочитанных в Лондоне в период с 1888 по 1891 гг. авторитетными исследователями данного раздела религиоведения. ;16.jpg
17;B653G6;Русский язык: Первые шаги. Часть 3. Учебное пособие;1;2699;8;4;8;9;Пособие является завершающей частью учебного комплекса. Третья часть содержит 10 уроков (21-30, последний-повторительный). Усвоение лексико-грамматического материала рассчитано примерно на 200-240 часов аудиторных занятий. ;17.jpg
18;J735J7;Синтетический образ индивидуального психического мира;1;1099;8;3;9;4;Психика подобна определенным объектам, это фиксируют сами люди в языке и искусстве. В данном исследовании рассматриваются в этом плане образы сосуда, воронки, дерева и крепости.;18.jpg
19;H436H7;Английский язык в спорте: Учебное пособие;1;1999;9;4;2;0;Учебное пособие подготовлено для слушателей, изу чающих английский язык как язык специальности;19.jpg
20;H475R5;Лексика и грамматика современного китайского языка (к тому II учебника «Новый практический курс китайского языка» под редакцией Лю Сюня): учебное пособие;1;608;10;4;25;12;Пособие выступает дополнением ко второму тому учебника «Новый практический курс китайского языка» (под редакцией Лю Сюня). ;20.jpg
